Shared_Markers,k0,k1,k2,Share_allele,Value,Marcadores,Software,Datos,Kinship,File,Hoja,Sheet,Value_range,FAM_Sample_info_id,FAM_Sample_info_rel,VIC_Sample_info_id,VIC_Sample_info_rel,ValueLog10,True_positive
15,0,7,8,23,1321.29,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-375,375:375,1000-9999,105102,F,025901,F,3.1209981481045626,1.0
14,1,12,2,16,3.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-1,1:749,0-99,054602,S,078302,S,0.4771212547196624,0.0
15,0,8,7,22,1323.35,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-375,375:375,1000-9999,070401,S,070401,F,3.121674721712812,1.0
15,0,8,7,22,400000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,100000-999999,131901,F,131901,S,5.6020599913279625,2.0
14,1,6,8,22,40.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,0-99,128101,S,060002,S,1.6020599913279625,0.0
15,0,8,7,22,10000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,10000-99999,034901,S,034901,F,4.0,1.0
15,0,9,6,21,30000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,10000-99999,119401,S,119401,F,4.477121254719663,1.0
14,1,5,9,23,20.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,0-99,094601,F,003201,S,1.3010299956639813,0.0
14,1,8,6,20,1.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,0-99,095501,F,083602,F,0.0,0.0
15,0,4,11,26,89145.3,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-60,60:690,10000-99999,126201,S,126201,F,4.9500984508442665,2.0
